stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
H1sp355a,,"SPIENNES Eglise",,  50.425645,   3.987049,,,0
H1sp356a,,"SPIENNES Route d' Hyon",,  50.434382,   3.992850,,,0
H1sp356b,,"SPIENNES Route d' Hyon",,  50.435016,   3.992638,,,0
H1sp357a,,"SPIENNES Route de Spiennes",,  50.429417,   3.995952,,,0
H1sp357b,,"SPIENNES Route de Spiennes",,  50.430502,   3.996015,,,0
H1sp357c,,"SPIENNES Route de Spiennes",,  50.429276,   3.996686,,,0
H1ss348a,,"SAINT-SYMPHORIEN Chemin des Tuileries",,  50.433944,   4.027476,,,0
H1ss348b,,"SAINT-SYMPHORIEN Chemin des Tuileries",,  50.433947,   4.028363,,,0
H1ss349a,,"SAINT-SYMPHORIEN Chemin Saint-Pierre",,  50.440382,   3.988386,,,0
H1ss349b,,"SAINT-SYMPHORIEN Chemin Saint-Pierre",,  50.440252,   3.988734,,,0
H1ss350a,,"SAINT-SYMPHORIEN Ecoles",,  50.439334,   4.010730,,,0
H1ss350b,,"SAINT-SYMPHORIEN Ecoles",,  50.439343,   4.011029,,,0
H1ss351a,,"SAINT-SYMPHORIEN Vieux Moulin",,  50.435021,   4.020705,,,0
H1ss351b,,"SAINT-SYMPHORIEN Vieux Moulin",,  50.435235,   4.020355,,,0
H1ss352a,,"SAINT-SYMPHORIEN Village",,  50.443061,   4.003678,,,0
H1ss352b,,"SAINT-SYMPHORIEN Village",,  50.442964,   4.004227,,,0
H1sy137a,,"SILLY 4 Saules",,  50.662585,   3.911653,,,0
H1sy137c,,"SILLY 4 Saules",,  50.661835,   3.911406,,,0
H1sy137d,,"SILLY 4 Saules",,  50.661865,   3.911558,,,0
H1sy138a,,"SILLY Banque",,  50.645657,   3.921158,,,0
H1sy138b,,"SILLY Banque",,  50.646125,   3.921768,,,0
H1sy139a,,"SILLY Carmoi",,  50.657369,   3.936056,,,0
H1sy139b,,"SILLY Carmoi",,  50.657882,   3.936313,,,0
H1sy140a,,"SILLY Drève des Ronds",,  50.631325,   3.952231,,,0
H1sy140b,,"SILLY Drève des Ronds",,  50.631482,   3.952176,,,0
H1sy141a,,"SILLY La Venerie",,  50.625900,   3.968301,,,0
H1sy141b,,"SILLY La Venerie",,  50.626371,   3.967341,,,0
H1sy143a,,"SILLY SNCB",,  50.662690,   3.934363,,,0
H1sy143d,,"SILLY SNCB",,  50.662723,   3.934339,,,0
H1sy144a,,"SILLY Place",,  50.649773,   3.924755,,,0
H1sy144b,,"SILLY Place",,  50.649655,   3.924787,,,0
H1sy144c,,"SILLY Place",,  50.648502,   3.923687,,,0
H1sy144d,,"SILLY Place",,  50.648451,   3.923821,,,0
H1sy145a,,"SILLY Route de Brugelette",,  50.640166,   3.924676,,,0
H1sy145b,,"SILLY Route de Brugelette",,  50.640126,   3.925236,,,0
H1sy147a,,"SILLY Rue de la Station",,  50.651348,   3.919614,,,0
H1sy147b,,"SILLY Rue de la Station",,  50.651128,   3.919715,,,0
H1sy148a,,"SILLY Rue de la Sylle",,  50.671602,   3.909860,,,0
H1sy148b,,"SILLY Rue de la Sylle",,  50.669952,   3.911670,,,0
H1sy148c,,"SILLY Rue de la Sylle",,  50.669464,   3.911198,,,0
H1sy150a,,"SILLY Rue St Marcoult",,  50.652148,   3.928999,,,0
H1sy150b,,"SILLY Rue St Marcoult",,  50.652567,   3.930070,,,0
H1te173a,,"TERTRE A la Carbo",,  50.476950,   3.814206,,,0
H1te173b,,"TERTRE A la Carbo",,  50.477055,   3.814159,,,0
H1te174a,,"TERTRE Ateliers Protégés",,  50.464578,   3.826680,,,0
H1te175a,,"TERTRE Avenue du Grand Air",,  50.461309,   3.799515,,,0
H1te175b,,"TERTRE Avenue du Grand Air",,  50.461496,   3.799465,,,0
H1te176a,,"TERTRE Carrefour",,  50.464653,   3.810508,,,0
H1te176b,,"TERTRE Carrefour",,  50.464417,   3.810581,,,0
H1te177a,,"TERTRE Chemin Brûlé",,  50.465301,   3.803425,,,0
H1te177b,,"TERTRE Chemin Brûlé",,  50.465244,   3.803220,,,0
H1te178a,,"TERTRE Rue des Herbières",,  50.456403,   3.785761,,,0
H1te178b,,"TERTRE Rue des Herbières",,  50.456365,   3.785597,,,0
H1te179a,,"TERTRE Cité des Aulnois",,  50.469162,   3.795620,,,0
H1te179b,,"TERTRE Cité des Aulnois",,  50.469087,   3.795542,,,0
H1te180a,,"TERTRE Cimetière des Anglais",,  50.472563,   3.784398,,,0
H1te180b,,"TERTRE Cimetière des Anglais",,  50.471800,   3.786044,,,0
H1te182a,,"TERTRE Cité Wauters",,  50.465118,   3.821978,,,0
H1te183a,,"TERTRE Ecoles",,  50.466499,   3.813654,,,0
H1te183b,,"TERTRE Ecoles",,  50.466598,   3.813595,,,0
H1te184a,,"TERTRE Ets Martens",,  50.475014,   3.814570,,,0
H1te184b,,"TERTRE Ets Martens",,  50.474799,   3.814156,,,0
H1te185a,,"TERTRE SNCB",,  50.472900,   3.821037,,,0
H1te185b,,"TERTRE SNCB",,  50.472113,   3.819946,,,0
